Would Keeping Trump Off the Ballot Hurt or Help Democracy? (Published 2023) - The New York Times,Would Keeping Trump Off the Ballot Hurt or Help Democracy? (Published 2023)  The New York Times,https://news.google.com/rss/articles/CBMickFVX3lxTE15TTdpaERXUFFKMmF1MjZKY2Fwd3NRR19uWDdQUE91WG05dDJxN2R2X1NSVEdOZlFqelU4RjFsQU44OHFXMmQzOW52anQzckhjdVFhZllQYjF6YU1EZ2RDVlRXT2NyYTBvMk5NY3FyUFBOZw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sat, 30 Dec 2023 08:00:00 GMT","{'href': 'https://www.nytimes.com', 'title': 'The New York Times'}"
Trump criticizes Iowa Gov. Kim Reynolds for ‘disloyalty’ as she plans to endorse DeSantis - Iowa Capital Dispatch,Trump criticizes Iowa Gov. Kim Reynolds for ‘disloyalty’ as she plans to endorse DeSantis  Iowa Capital Dispatch,https://news.google.com/rss/articles/CBMiygFBVV95cUxOQjd4MkE5RVRtcjVvbTNaWkxrc0l4enVRMlR2MFIxZ1J4R1d4N1pOSkE0SVhOTzJabXBjTXJvMF96VDktdTJMdUhiWnQ4cmcyaV9nQUVXeVdiekJIcGxpdjVnSjVPSFdjVkVQLUhJTTluXy1kTDdBUEJ1NFkwa1l3dFdtS092YWRkU3JHUURHLXU0T2ZpWnRSVEhCYXB3b0g4VnBDSlFZRm5yZzVnVlNwdkV3dW55ZGRSYmtmMW56VHpqdTd6QXE5NzZB?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sun, 05 Nov 2023 07:00:00 GMT","{'href': 'https://iowacapitaldispatch.com', 'title': 'Iowa Capital Dispatch'}"
Accountability for Trump - Brennan Center for Justice,Accountability for Trump  Brennan Center for Justice,https://news.google.com/rss/articles/CBMiggFBVV95cUxONUE4YWloZEJIdHZ3eUhUSkVfR1Y0LWNMbkVZU3ZTZks5cW1scDBrRjZkTm45YnF4elRXZ2JiS1MyRDdlZ3NyZzBpMXViZEVIQVZuWDlncWV2d21VLWYxMkxFMUtpQXd6OFZYTEFZTENlLVpuOEhIQXVOY28wb0x0RTNn?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 12 Dec 2023 08:00:00 GMT","{'href': 'https://www.brennancenter.org', 'title': 'Brennan Center for Justice'}"
Ivanka Trump testimony: Why 'I don't recall' is a common legal strategy - BBC,Ivanka Trump testimony: Why 'I don't recall' is a common legal strategy  BBC,https://news.google.com/rss/articles/CBMiXkFVX3lxTFBqanZjaTZwU2lEMkRrNEpseFg5cXk1MFk5MVJnN0ZGYXp6OU4yR2Q2a1ZiX3JIYTEycWswYVpaby1DdFVjbzNMTHZJT0ZLcmxjeThzNGhGdVFuMlNaZEHSAWNBVV95cUxQTmF2WVZwRG85bHNEeVpETldFS1UxSXJXVHAyZWZuaFlTLVdmd25YVFdRdHVhS1drb3FwQzc4R3U5eDg2Y3dPX0RhUmhQTG5HdEVkRTJRcEItN1QzcTVFQ0VwaWs?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 08 Nov 2023 08:00:00 GMT","{'href': 'https://www.bbc.com', 'title': 'BBC'}"
Judge rejects Trump’s claim of immunity in his federal 2020 election prosecution - AP News,Judge rejects Trump’s claim of immunity in his federal 2020 election prosecution  AP News,https://news.google.com/rss/articles/CBMiogFBVV95cUxPVFpiZGdQeV9QZGdUTjlqZVpaRjlTRDh4X1hueHVOUXFDU2NkNjR3Q3RTQnc2YTNvS0p4MEJIZXJUd2pKMDl3a1VZUzFRN1llTEVqRDVlRmotRmFhQW5LYVRhM3BDd1lwc1dUTFBVdXdYLUFDanhYU1lzeG44b2JYaldjN2pBYmJ2MVJmbE1YVnNnckhVRTRPS1A2czJzaUVGYXc?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 01 Dec 2023 08:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
Colorado's Supreme Court disqualified Trump from the state ballot. What happens now? - NPR,Colorado's Supreme Court disqualified Trump from the state ballot. What happens now?  NPR,https://news.google.com/rss/articles/CBMingFBVV95cUxPY0h3NHVuTnM2eHJ1NU9UdmtOdVNueEQzOWF3MHRvckZRSHpOdDJydGpyNk1JRFRNd3BfQ2hFLVM1Yk52TEJqVWdtOS1Qdjhra3RFSGMtN1Y4cmZQeFp1VVhtUzFRa1hjQTF1dEtueW1UNlpzdU5YcDRSQnlHUTZ0NTAxRzcydzlpX1BEQTcyOXNqa3hDUWZsaW1oV0t3UQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 20 Dec 2023 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Biden used to keep quiet about Trump. Now Biden's invoking his name to raise alarms - NPR,Biden used to keep quiet about Trump. Now Biden's invoking his name to raise alarms  NPR,https://news.google.com/rss/articles/CBMioAFBVV95cUxNbV9WeXNrOTVONlozLU9JcnpRUnFvNEJ1TXN6Q0dXTVJwamN0LWo3NkNlS3RPMUp5cVpKMW1hYlc5Y1NjRlhmMk5aWm50RHpFdUFtMWtlelRDQ1pnNUkxLTZqSHozN2RNaTlpV3RtUFZZS0FnM1lvcXZGRllLV2VYNXU1a1hlQ1d3QkJoYXY1NDdET1ZhNlctT2phLWZjWGVC?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sun, 03 Dec 2023 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Maine bars Trump from ballot as US Supreme Court weighs states' authority to block former president - AP News,Maine bars Trump from ballot as US Supreme Court weighs states' authority to block former president  AP News,https://news.google.com/rss/articles/CBMiswFBVV95cUxPX0FOLUJya2IwWUhCUjUzeWVreWwwQV9QcmRhTmIzbnhqTmcwNnkyc2hXSzEwM0paLTFZNVAtMTQ4b2xYVFNZdV9PNGZMM0diMlBRUGx2bXR5SzBscjViV0tyX0g5YXhGVWpaMWdrTElwTzVTUlBqdUtyYkQ2azNoVFFBTmFVeWFGTGhpb3JWb3ZwN0QybkcwbGNqQ2kyNDdhclVwdGdjbVh5NWJ3QVBiVzdHOA?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 28 Dec 2023 08:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
Trump allies craft plans to give him unprecedented power if he wins the White House - NPR,Trump allies craft plans to give him unprecedented power if he wins the White House  NPR,https://news.google.com/rss/articles/CBMinAFBVV95cUxOTDUwUmRDODUyMGRKamxEaUVwei1GaUpyQjIzVFFHUmpZanYzeG1mRFMwaEFUaEdlWWFCWlU5TDdjN1hJRW1OeFRra29fZ3UxSUxycWF4MlMxWVZkZ3VXa1JRdFJOUDF2Ty1NdTJobjJ1V2RqN0NNbWEzUzZQVnRJTFZKTGdGU2RrX21mQ3phdnBGS3JEd1g3TjJJbzk?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 06 Dec 2023 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Trump's vow to only be a dictator on 'day one' follows growing worry over his authoritarian rhetoric - AP News,Trump's vow to only be a dictator on 'day one' follows growing worry over his authoritarian rhetoric  AP News,https://news.google.com/rss/articles/CBMiugFBVV95cUxPWnFHTDJsaVVBclY4N1MwMGF1N0RmajdUcEpxbjY1TjFJM1Q0WUNpbWNfclBNQkk4MjNyUndFV211ZVJ0VUlvenRXSVdWajNDbGJ6ZU8xOHVxMVhFcXdFMXNiX25wWk5FOEZoN0llaGFudHV3TlFoVFBXWUg4OWdhRzVMU1BwVkI5czhnSzR6cWtRd0lXM1c4YWZtTExtQnpBNEswM2E5dmJsYVRydmxaakpfcVhHbExmS1E?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 07 Dec 2023 08:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
"Under Trump’s 2020 election case gag order, here’s what he can and can’t talk about - PBS","Under Trump’s 2020 election case gag order, here’s what he can and can’t talk about  PBS",https://news.google.com/rss/articles/CBMiuAFBVV95cUxOaVdRSHRiLTFLcHp5VlU0a0Y3RndrOHRFV1lNZzN0T3JXWEhEMnJwUWV1ZkFuRUg0ekZEOXg0Nkw3Qi11UE9yVXd0TWhwZV80Ynk2bmtMN19iMEh4bTVQbklmc09BLXNzTW9hZEVDV2pSVEEtMHBpT0dsYjNFX3dOeklpMGJQSkhxdWYtVFl2amh1T3FSeXBnMlNCeFNrblVlZGF2SUUyWF96YUxtVHRGc1B3UWNNajR1?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 01 Nov 2023 07:00:00 GMT","{'href': 'https://www.pbs.org', 'title': 'PBS'}"
Trump's decades of testimony offer insight about what he might say in court about his real estate empire - PBS,Trump's decades of testimony offer insight about what he might say in court about his real estate empire  PBS,https://news.google.com/rss/articles/CBMiugFBVV95cUxQdElvWF9CbVZFdHJLWU9RRDNvUk5WNENqMnlBU3JvN0l0aE84bmVBdGQtVXgtZzllVXlZREVsZkxOT25mSXNYcmJueGNLanQ3R0VOdGJRRkd6V2M1Y0dBQUItT0dTVnlNVlc5cEJlV1VUS2JrWU4ycGRSVl9ON0g5SDktTGxWX0xWaTdTNHVUQlM1ME5oNk8wN25iU2kzRTM0S2hXUTlSN1hiTjZHVEdnMXdMTVk3NHhxRnc?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 06 Nov 2023 08:00:00 GMT","{'href': 'https://www.pbs.org', 'title': 'PBS'}"
What a Donald Trump second term would look like - BBC,What a Donald Trump second term would look like  BBC,https://news.google.com/rss/articles/CBMiXkFVX3lxTE5VSnpQY3FhT3JQSDdESlFMcVBQNDhWemxPU2VidkdiamlqZWFjVjZxRXRRZEx0YjlzaE9teEtXeTVQU3RxUFZnSV9TR1VZUHhIMmM3anJhTnltZkI5SGfSAWNBVV95cUxPSlRMXzRpbHQ3MTFQdWZTUVNYVVl0WXRNQTFfUi1RNDNpTm81QVdieGs4M3hyUEJER3hva1hDd2Z3R0JLM2Zyb01lUW8ta08yVmVlYlNLb0FwdDlGcUxYbnNoOGs?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 03 Nov 2023 07:00:00 GMT","{'href': 'https://www.bbc.com', 'title': 'BBC'}"
Read the Colorado Supreme Court ruling that kicked Trump off the state primary ballot - NPR,Read the Colorado Supreme Court ruling that kicked Trump off the state primary ballot  NPR,https://news.google.com/rss/articles/CBMigwFBVV95cUxNakxJNVdJX2RMaFZKMENjRC1oT1FkLXpGaGplTmhBa092MTFHZmxnc3BqcjhsdmJEM0o4UlJTdFo5SnJCUkJuWldjNHgteXBuWVd2aDR0VFRjVE84ZXR2SWQzX0V1c2hrbW1MN3JLOXRYX3dVTU8ybm1OUm43Sm9SWlN4NA?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 20 Dec 2023 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Trump event rescheduled to new venue - Dordt University,Trump event rescheduled to new venue  Dordt University,https://news.google.com/rss/articles/CBMicEFVX3lxTE5WVVhOd0xMc0R4a2JUQjJKVUwwaU4tLVlJb0tIbUtqMkx1RVVFT1lldmJMMXhKRlpybEFMeXpQSEttSDJvRnlHaU1qS2xnd0UtYy1JdDRtbENTdWxTUFZLSksyWHktZk4tdlE0WWZDU0k?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 28 Dec 2023 08:00:00 GMT","{'href': 'https://www.dordt.edu', 'title': 'Dordt University'}"
Donald Trump testifies: Ex-president clashes with judge at New York fraud trial - BBC,Donald Trump testifies: Ex-president clashes with judge at New York fraud trial  BBC,https://news.google.com/rss/articles/CBMiXkFVX3lxTE1wY1dqV2x0bjFHWUZ6M2dSSHlzMmNPZWF1M0JlcFNVdmJPbGZlTW1xTmFNN3VzTzcwck5jMUtrNlU3Y0xLZGRWbGd3aFZHalZLc0xKbzdFNHhQUlZ2OGfSAWNBVV95cUxPbk1aUjJJcVFCQUEtaVZyelNUWk15TnlRcXlHYnBFTm9LdmJESWFtVWlvdjZQWGszdHA5bmdIZXR1YldORFkxRW9Yek9NUUNuTWNESzdJTTk5WFItTzRPZUVVVzQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 06 Nov 2023 08:00:00 GMT","{'href': 'https://www.bbc.com', 'title': 'BBC'}"
Trump gag order is partially upheld in Jan. 6 case - NPR,Trump gag order is partially upheld in Jan. 6 case  NPR,https://news.google.com/rss/articles/CBMid0FVX3lxTE4wazdmX2FsUEZMZC1IUE0yY1FuNmZBdUdHSDFtY0NZZDlNcHlSdGxON2JmNVdzNFd2TTFyVk5wUmpfOWt4blo0dUlWcTRuaU1jMlJ0NlFRUVdkX08wM1ZLdXd0Z3ZRbjNQMHExZmhhVnhQd21YV2xz?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 08 Dec 2023 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Special counsel Jack Smith asks the Supreme Court to rule quickly on whether Trump can be prosecuted - AP News,Special counsel Jack Smith asks the Supreme Court to rule quickly on whether Trump can be prosecuted  AP News,https://news.google.com/rss/articles/CBMiogFBVV95cUxOTDZfUmFleEdibzQzUTljZ2tXaHJRcnJqZDBOUXdpZ05kQW94VHBfNEltM3owWHh4VjJaMUVoUnlqS0p4MWFzczRZOEZCSnJkcmhIeFJ0VHAyYVRCWm81RDNVU1N6cC1VdEYyekNGLUV3eVc0RWg0SmVZZF9yNVVYbnRETDZTYnFlU2t2U2tUNDhtOTUyVWF2bEVaZlA2ZXE5VkE?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 11 Dec 2023 08:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
Three Trump Lawyers Have Flipped. What Does It Mean for Client-Attorney Privilege? - UVA Today,Three Trump Lawyers Have Flipped. What Does It Mean for Client-Attorney Privilege?  UVA Today,https://news.google.com/rss/articles/CBMirwFBVV95cUxQSUxoc0NkR1NxR2ZjaGx1em5fMU9fR0pGVGtabDFyQXIzeWlUVkFqMFNOamtSeHpfX0hyMGxuN0hQZjMwUGVIMTViQV9sZkltY1RIZThvMndZZ3M0dF9rUXp0OGVPNGhoMGItOTlnWjhjTDBfY1laSVlqYlZsdy1QOEt0M1QwZG5sT1JjQ1UxTDZrdjc2R05ZU0tLX291c0VQOVJfUzhNcVliZVBHNFM0?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 01 Nov 2023 07:00:00 GMT","{'href': 'https://news.virginia.edu', 'title': 'UVA Today'}"
"Trump's plans if he returns to the White House include deportation raids, tariffs and mass firings - AP News","Trump's plans if he returns to the White House include deportation raids, tariffs and mass firings  AP News",https://news.google.com/rss/articles/CBMiqwFBVV95cUxOYnFuWVZGdGNjSkJodGhMM1BBbGRMcmZLLWgwcWJNRFRYeHQ1MF8wMWd1N2FuWUUxMXl2Q1JCejN1Ukx2X291SmhEN0lPZlB4RDdjd29yc2xhOVdkcVZLMElqZmJpMDh0YTI0eTNRdENiYVJOaXFMUWZpcU50bWxrdU5ESGRCeVVIcDcwblc0ZGtCSkF6dTBXZU93ZEZrNGNIX0VXd0lnZG1hX28?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sun, 12 Nov 2023 08:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
"Yes, Trump Is Disqualified from Office - Cato Institute","Yes, Trump Is Disqualified from Office  Cato Institute",https://news.google.com/rss/articles/CBMibkFVX3lxTFA3NV9MR1hJTVdoSHNTd1RlZExzaGRuTUVuYWV6TFJqT0Q1WWZHLTlIX3plUTE1cGhSQllINm40d0xHQmNBUU5EaklFRFNwVWFfUmtUeDVfT2ZnRjh0UzNsTUpneGc5aEpBQ1kxbWdn?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 01 Dec 2023 08:00:00 GMT","{'href': 'https://www.cato.org', 'title': 'Cato Institute'}"
The Media Must Atone for Enabling Trump's Fascism - Free Press.net,The Media Must Atone for Enabling Trump's Fascism  Free Press.net,https://news.google.com/rss/articles/CBMia0FVX3lxTE1EbEtJbl9EVTJ5REwxcldVRUpsS2hweWh0QlNaalBaTUNBUEhDdWNUUGVuODYxcHNIQUFQdWdaY3VUZGt3Ym5WZllfa0d6OWF4WUhvQXFkSnJuWnBOWjVyYWFBcXptSVZJQlZZ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 16 Nov 2023 08:00:00 GMT","{'href': 'https://www.freepress.net', 'title': 'Free Press.net'}"
Europe and US extend trade truce over Trump tariffs - BBC,Europe and US extend trade truce over Trump tariffs  BBC,https://news.google.com/rss/articles/CBMiVEFVX3lxTE1tVXFjb3F0bEQ0TFhqUE0zY09QZEdQejZuNC1DVEY1VEI2dDhvYVZWV3hKTEtjODFpVEZxaldQaUxHQkdqMERJVW1VZkNMRnFwOXE3TNIBWkFVX3lxTE9XclVzY2V0alBxVnZVY2ZCM0lOZTZXbDU2Z18wcFZiUWFqeE93TEEteHloeXVBcG8yV0ZPX3hQZ3A3VFNmcGF3TEpuTGFta21vQ1lOQ3V0dXpaUQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 19 Dec 2023 08:00:00 GMT","{'href': 'https://www.bbc.com', 'title': 'BBC'}"
Trump says immigrants are ‘poisoning the blood of our country.’ Biden campaign likens comments to Hitler. - NBC News,Trump says immigrants are ‘poisoning the blood of our country.’ Biden campaign likens comments to Hitler.  NBC News,https://news.google.com/rss/articles/CBMixwFBVV95cUxPVG1VMDZOeGlPcEJTQmZ4YnVUQ1VKT2ppWmkyNG9sc0dxNm9hVmNSM1p1ZGFqV2txN0NFOThPMWcyLV9oVDhCRkVXWjFxcWhoNmdWS1ZhNnFvOGJwNWJ4b2tuX2s5SnpxRXJ0bGQ5UlBzdVhKVExNSWFkSjRUYlZBUW1rZThndUt1YXZHTEdkdzJhbTI1VGpFd0RWaEJFZ0hvVWJ4N3gtdV9BUUFGSUVja1I5UGY4Y3VyVTF5SWZOT2szRnJtNEpj0gFWQVVfeXFMTW92V0pRTWk2cy1zcU1tVHBNLVZvdjlYeVRGdDI3ZGNJT0VvVU5KZUdGbTNhMmtYYXZwWjhHbGdiYThOWHBqcGZjMmdLbU1PLXhkZjh2Snc?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sun, 17 Dec 2023 08:00:00 GMT","{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
"Trump doubles down, saying ‘Obamacare Sucks’ and must be replaced - NBC News","Trump doubles down, saying ‘Obamacare Sucks’ and must be replaced  NBC News",https://news.google.com/rss/articles/CBMipgFBVV95cUxPV21OMm13bklsTVJDcUJhQ0VnV0pwaTZwMFF5bnlxNERkYzN5SHdXZ0F0LW5CWFpnSU01c0Vtd1Z1SWFyQkRRa1pWSmJlNndiTUQ5eXZSdFpaWkdRb0k1TldkRWFyX2F4TEJjNnRXM28wSVRFY1FJQUdyYkZ6VGpBZTc1MnQ1WHR0Y2c0d1BCbmtlTjJpSFBjTnphdldBSmxwRFhSYjJR0gFWQVVfeXFMUENobnVhOWFnMjkzaWJFN0tzVnhDMEFMQTl3OXV1eXZjZm9vUnB2RnhoNUZjYVlZWUVxNHAySFM1ellvcnJFemN3LWJRSkVSLVoxYmtLUmc?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 29 Nov 2023 08:00:00 GMT","{'href': 'https://www.nbcnews.com', 'title': 'NBC News'}"
"Liz Cheney, focused on stopping Trump, hasn't ruled out 3rd-party presidential run - NPR","Liz Cheney, focused on stopping Trump, hasn't ruled out 3rd-party presidential run  NPR",https://news.google.com/rss/articles/CBMif0FVX3lxTE5mZS1xZ0lBcEhHRUNrLUptU19ITk1iV2hqc3BVNzhVYlplbHRPQmJKel9hc2lfR3dJaFVmQU5yal9hNmVTbm5NdVVidzQ4YmF5UXB2NTlETW41REU0UnpOR2x5Uk9MbjhzMF9RZTF4WlRKeDFQTWRZcXdlc20xNGc?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 05 Dec 2023 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Trump calls Biden the 'destroyer' of democracy despite his own efforts to overturn 2020 election - AP News,Trump calls Biden the 'destroyer' of democracy despite his own efforts to overturn 2020 election  AP News,https://news.google.com/rss/articles/CBMimwFBVV95cUxNY3ZaTDNXUUY0RktPcFRjQmFzYVdUSnVNcnlWQWl2bUY5ODV2WXRkczhzWXp6ZHFucmYyVDl1cktQVE5VZTBEYUVwVlBkRjZsbF9GZTN6RnpvR1NVVVFmTjRHcVVoMExiUWIwY1BDODgxbUFMTmtjOTRYa1lXbkNOb0xiMEtxVXQ3WFI1OUFrTjlQOWJ1V2VaUjdkbw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Sat, 02 Dec 2023 08:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
Trump pitches 2024 election as most important for nation’s future during Houston campaign stop - The Texas Tribune,Trump pitches 2024 election as most important for nation’s future during Houston campaign stop  The Texas Tribune,https://news.google.com/rss/articles/CBMidkFVX3lxTE80a2EyMmFvMXFsajJMSmUxTmRKaTJ0OTl5RXQxVUFKVnVTWTh0TzVVU0JBLXltOUczRWlOcjVoR2ZMVExzOXBzZktTa250a3VCRktpNlB0VUxDV3pqU2NRdExuWHVMSUJ1TURTcjd1ZUhOa3VVMGc?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 02 Nov 2023 07:00:00 GMT","{'href': 'https://www.texastribune.org', 'title': 'The Texas Tribune'}"
Why Trump's authoritarian language about 'vermin' matters - NPR,Why Trump's authoritarian language about 'vermin' matters  NPR,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQcS0yUF9xZjhWUnVvU0dlOEFZaFlOZDVvS243X0YxejgzUm11RXpPQkFaZWpqSG5UN0dmcWIzT2I4dExsMXJCbl9oSEVPNUtRUnVxQmZDcjl3TXZxUEJuaUJRc3p5bl9VRndWeVJrazF2SHl5ampOMDZ5NGFmUXA3djBjc0lDd1A0aVJHS2c2eWE1eUtDRVRYeFVLYjBxOVYwdXhhQ0N2dS1fQQ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 17 Nov 2023 08:00:00 GMT","{'href': 'https://www.npr.org', 'title': 'NPR'}"
Will Trump beat Biden? - USC Price School,Will Trump beat Biden?  USC Price School,https://news.google.com/rss/articles/CBMifEFVX3lxTE01VGoyQ05hZWJWQzRibU1YcHhHdzRhOV9GaWNZcGpxUXR2U0M0VmRzM2ZIT0dBUk5iTThIY1dEWEZ3MzR6VnNueUdTcU5QSjJSYndubFhob3JSOG9GVlZlVFZ0RUpfNS1rMWRMRjZmNTBhTkVXOXJscXhuS1g?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 09 Nov 2023 08:00:00 GMT","{'href': 'https://priceschool.usc.edu', 'title': 'USC Price School'}"
Trump says he will renew efforts to replace ‘Obamacare’ if he wins a second term - AP News,Trump says he will renew efforts to replace ‘Obamacare’ if he wins a second term  AP News,https://news.google.com/rss/articles/CBMimAFBVV95cUxNLUwyTlBZWXg5OFRSb05COGtjZmtBMnRhYWhnbVFsdUt5cXpURUY3YXpUMnd0S280NEw5dXJUdGFKZ0FRdmIwd0Q5dzZUNWN1UHFVLVJWVnRrd3FpSG1SQ05VbExQMjRmWTQ3MHZUODRiaWptcmgxVEEtXzhoWFgzWXlWQXpYanNGMGhzN2JyLUlnODRVQ0ZoYw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Mon, 27 Nov 2023 08:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
Trump has long praised autocrats and populists. He's now embracing Argentina's new president - AP News,Trump has long praised autocrats and populists. He's now embracing Argentina's new president  AP News,https://news.google.com/rss/articles/CBMipgFBVV95cUxPMWNmWGRZdzFGUTFfb2VvWEpFeWJrOFVEX3FYckg1V1hqUERKdFpUTmtFNER1dHBDVzZzVDBNWE00TDV0LTNqQ1VRelZUYlhiUW5YcG1la1NvbVhDNFpjVzMyZmF0OVJreElNcC1YeU8wUmlCMFhySGRkNFM3Wm1Yb3h5VjktQnpodHJoSEdCY0JLN3RSSThSQVM2OXJxNVAzX2dvakxB?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Tue, 21 Nov 2023 08:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
American Oversight Files Amicus Brief in Trump Election Interference Case - American Oversight,American Oversight Files Amicus Brief in Trump Election Interference Case  American Oversight,https://news.google.com/rss/articles/CBMipwFBVV95cUxPakplaGg4NzB5OUR2N0RkU3ZzclU4RU1LLTJKWmJDRkFDV0xoWElEZklpeVRTNUNWUGtWVGp1VVVLbmVKSFE3TF9Ubzk0aWMxTVRDQ0pPbE0wQ2pyM19jUWRMbTdiZU80OVV1N2RvMERvVGlSVDQxSWtVaFpTWWlCcVRQXzk3MjJRY0MxdUJKa0paTy0yc2JxWGFrWkFYN1R5akNsZGIxaw?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Fri, 29 Dec 2023 08:00:00 GMT","{'href': 'https://americanoversight.org', 'title': 'American Oversight'}"
Attorney General Bailey Files Brief Opposing Unconstitutional Gag Order on President Donald Trump - Missouri Attorney General (.gov),Attorney General Bailey Files Brief Opposing Unconstitutional Gag Order on President Donald Trump  Missouri Attorney General (.gov),https://news.google.com/rss/articles/CBMiuAFBVV95cUxQS196Sms1MjY1XzdVYm1WcUYwUHEzM2dyNFhBUlQ2SF9oM1VwYURRLW9rOXFja01ZT3FYaVBLSUdVbE9HZzNEckZXUXZUbnZha25IRGlrQ2NkZTR1dEM1bDZ3M3F1UV9INVUyQi1Kb0NqaWNmVzdVVnQ0T0FTdXlyd01NOHNpd2owQXVYTWVfUk95TVBHdmhLcHJxQjEzTDFsMVlybGY4LVRMVHN1bGRjV2dBMXNaRlNZ?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 16 Nov 2023 22:08:19 GMT","{'href': 'https://ago.mo.gov', 'title': 'Missouri Attorney General (.gov)'}"
"Donald Trump Jr's courtroom debut: Chuckles, smiles and mispronunciation - BBC","Donald Trump Jr's courtroom debut: Chuckles, smiles and mispronunciation  BBC",https://news.google.com/rss/articles/CBMiXkFVX3lxTFBiUmt5VWo5SlZvQ0szeV9zQ2dIMl9ocDF2M3lrcmVKUk5BaE1ZTGI0dGJ6b2Q2TTdBbzdNTW85NjItRzJsZTR6ZUwxTnQ1TjQwZ3FzX0VHTC13ZlR0SHfSAWNBVV95cUxQVHZ2UXVSZ1cxWDdtckZuTS1yRjU3dy1PNTBRM1ljNjRhT085T2J2U0ZSQnRwVXZDTGlZcDFyQkdwSnduTnJfc2VGbmxKQ0RaQVlHckNVeEVyX3VURnlYUFRKSjg?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Thu, 02 Nov 2023 07:00:00 GMT","{'href': 'https://www.bbc.com', 'title': 'BBC'}"
Cleveland businessman Bernie Moreno lands Trump endorsement in Ohio's US Senate GOP primary - AP News,Cleveland businessman Bernie Moreno lands Trump endorsement in Ohio's US Senate GOP primary  AP News,https://news.google.com/rss/articles/CBMiogFBVV95cUxQNnJwNmJwMHNXWGprMFpuXzFadUxwZi1uOWpFeWRDTmk2NkNwRjBiX24zWkJLbkRwWFZwVnpRSUR0dVdtNlJPekotWFVCSFRaY3VJYTl4WGc1a1RsNmMwTm41bkRpVWFjVGxsV1MzdUZRbGlIX0J4dk9KZ1pGV3ZiWlhaU2l3YlB4OWZhUmFtRzhUbnF0bVFxMjRmZGZCVGQwS1E?oc=5&hl=en-CA&gl=CA&ceid=CA:en,"Wed, 20 Dec 2023 08:00:00 GMT","{'href': 'https://apnews.com', 'title': 'AP News'}"
